name,string_length,num_chars,avg_ns,min_ns,max_ns,std_dev,success_avg_ns,success_runs,fail_avg_ns,fail_runs
2,3,3,266,163,1480,288.71,271,19,163,1
2,4,3,238,157,1480,205.03,250,34,169,6
2,5,3,275,157,1480,180.86,290,52,173,8
2,6,3,289,157,1480,161.77,306,67,198,13
2,7,3,309,157,1480,153.84,328,84,206,16
2,8,3,329,157,1480,149.70,349,102,213,18
2,9,3,350,157,1480,149.80,370,121,218,19
2,10,3,369,157,1480,152.24,391,138,235,22
2,11,3,384,157,1480,151.82,406,154,252,26
2,12,3,398,157,1480,152.69,421,170,268,30
2,13,3,415,157,1520,169.47,439,187,281,33
2,14,3,430,157,1520,170.03,454,205,291,35
2,15,3,444,157,1520,170.79,468,225,291,35
2,16,3,458,157,1520,172.75,482,243,301,37
2,17,3,471,157,1520,175.71,495,260,316,40
2,18,3,486,157,1520,181.78,511,276,331,44
2,19,3,503,157,1520,189.57,528,295,336,45
2,20,3,515,157,1520,192.39,541,311,354,49
2,21,3,529,157,1520,196.67,555,329,362,51
2,22,3,544,157,1520,203.89,571,348,367,52
2,23,3,558,157,1520,209.20,585,367,372,53
2,24,3,570,157,1520,212.43,597,384,386,56
2,25,3,589,157,2236,240.96,617,403,392,57
2,26,3,601,157,2236,243.72,629,421,403,59
2,27,3,616,157,2236,249.54,645,441,403,59
2,28,3,633,157,2335,265.45,662,461,403,59
2,29,3,646,157,2335,268.95,675,480,409,60
2,30,3,658,157,2335,271.89,687,498,421,62
2,31,3,672,157,2335,277.44,702,518,421,62
2,32,3,686,157,2335,283.57,717,538,421,62
2,33,3,700,157,2335,289.14,730,556,435,64
2,34,3,715,157,2335,296.59,746,576,435,64
2,35,3,728,157,2335,301.75,759,595,442,65
2,36,3,741,157,2335,306.74,773,615,442,65
2,37,3,754,157,2335,311.21,786,635,442,65
2,38,3,766,157,2335,315.61,798,654,450,66
2,39,3,778,157,2335,319.51,810,673,458,67
2,40,3,792,157,2335,326.55,824,693,458,67
2,41,3,804,157,2335,331.30,836,711,474,69
2,42,3,816,157,2335,336.17,849,731,474,69
2,43,3,829,157,2335,341.72,862,751,474,69
2,44,3,842,157,2335,347.31,875,771,474,69
2,45,3,855,157,2335,353.29,888,791,474,69
2,46,3,868,157,2335,360.94,902,810,483,70
2,47,3,882,157,2335,367.92,915,830,483,70
2,48,3,894,157,2335,373.31,928,849,493,71
2,49,3,909,157,3637,389.05,943,869,493,71
2,50,3,924,157,3637,397.75,958,889,493,71
2,51,3,938,157,3637,407.80,972,909,493,71
2,52,3,950,157,3637,412.70,985,929,493,71
2,53,3,962,157,3637,417.41,997,949,493,71
2,54,3,975,157,3637,423.39,1010,969,493,71
2,55,3,987,157,3637,429.26,1023,989,493,71
2,56,3,1000,157,3637,435.12,1036,1009,493,71
2,57,3,1013,157,3637,441.59,1049,1029,493,71
2,58,3,1026,157,3637,448.16,1062,1049,493,71
2,59,3,1039,157,3637,454.70,1075,1069,493,71
2,60,3,1052,157,3637,461.31,1088,1089,493,71
