name,string_length,num_chars,avg_ns,min_ns,max_ns,std_dev,success_avg_ns,success_runs,fail_avg_ns,fail_runs
4,2,2,37844,7963,399521,85529.04,25116,10,50573,10
4,3,2,34541,7963,399521,59974.27,29852,29,46903,11
4,4,2,30156,7963,399521,49531.45,30463,37,29660,23
4,5,2,28743,7562,399521,43441.63,31613,48,24437,32
4,6,2,26755,7030,399521,39455.22,32492,53,20286,47
4,7,2,26419,7030,399521,36601.32,33680,62,18657,58
4,8,2,25218,6244,399521,34326.82,33720,69,16955,71
4,9,2,25335,6244,399521,32343.05,33861,81,16593,79
4,10,2,24870,6244,399521,30821.78,34107,89,15837,91
4,11,2,24892,6244,399521,29544.26,34526,99,15450,101
4,12,2,24196,6244,399521,28505.24,34713,104,14768,116
4,13,2,24070,6244,399521,27530.25,34922,112,14574,128
4,14,2,23346,6244,399521,26695.59,34964,115,14132,145
4,15,2,23108,6244,399521,25949.41,35043,122,13892,158
4,16,2,22676,6244,399521,25295.99,35156,126,13638,174
4,17,2,22218,6244,399521,24662.15,35192,129,13455,191
4,18,2,21974,6244,399521,24169.81,35474,133,13300,207
4,19,2,22019,6244,399521,23750.68,35839,140,13224,220
4,20,2,21795,6244,399521,23295.09,35991,144,13133,236
4,21,2,22034,6244,399521,23043.37,36495,153,13076,247
4,22,2,21953,6244,399521,22680.35,36653,158,13089,262
4,23,2,22101,6244,399521,22454.64,37067,166,13034,274
4,24,2,21691,6244,399521,22104.47,37118,167,12898,293
4,25,2,21506,6244,399521,21838.46,37293,171,12770,309
4,26,2,21347,6244,399521,21589.24,37470,175,12665,325
4,27,2,21411,6244,399521,21456.42,37835,181,12643,339
4,28,2,21014,6244,399521,21153.25,37835,181,12533,359
4,29,2,20912,6244,399521,20934.70,37928,186,12450,374
4,30,2,20652,6244,399521,20708.25,37999,188,12333,392
4,31,2,20738,6244,399521,20574.55,38184,196,12274,404
4,32,2,20593,6244,399521,20364.60,38238,199,12252,421
4,33,2,20486,6244,399521,20185.19,38380,202,12234,438
4,34,2,20432,6244,399521,19998.86,38475,205,12303,455
4,35,2,20696,6244,399521,20316.10,39139,213,12284,467
4,36,2,20697,6244,399521,20247.68,39397,218,12239,482
4,37,2,20596,6244,399521,20093.65,39496,221,12225,499
4,38,2,20385,6244,399521,19902.79,39529,222,12181,518
4,39,2,20295,6244,399521,19781.38,39662,225,12150,535
4,40,2,20204,6244,399521,19650.26,39762,228,12126,552
4,41,2,20338,6244,399521,19621.52,40007,236,12108,564
4,42,2,20199,6244,399521,19485.29,40079,238,12070,582
4,43,2,20346,6244,399521,19473.96,40334,246,12068,594
