name,string_length,num_chars,avg_ns,min_ns,max_ns,std_dev,success_avg_ns,success_runs,fail_avg_ns,fail_runs
2,3,3,976,103,6058,2241.06,976,7,0,0
2,4,3,564,103,6058,1581.34,564,14,0,0
2,5,3,432,103,6058,1289.44,432,21,0,0
2,6,3,367,103,6058,1115.64,367,28,0,0
2,7,3,330,103,6058,997.02,330,35,0,0
2,8,3,307,103,6058,909.49,307,42,0,0
2,9,3,293,103,6058,841.28,293,49,0,0
2,10,3,285,103,6058,786.28,285,56,0,0
2,11,3,280,103,6058,740.74,280,63,0,0
2,12,3,276,103,6058,702.34,276,70,0,0
2,13,3,272,103,6058,669.33,272,77,0,0
2,14,3,272,103,6058,640.49,272,84,0,0
2,15,3,272,103,6058,615.17,272,91,0,0
2,16,3,275,103,6058,592.70,275,98,0,0
2,17,3,277,103,6058,572.56,277,105,0,0
2,18,3,279,103,6058,554.30,279,112,0,0
2,19,3,282,103,6058,537.78,282,119,0,0
2,20,3,285,103,6058,522.66,285,126,0,0
2,21,3,288,103,6058,508.76,288,133,0,0
2,22,3,290,103,6058,495.94,290,140,0,0
2,23,3,293,103,6058,484.09,293,147,0,0
2,24,3,296,103,6058,473.05,296,154,0,0
2,25,3,299,103,6058,462.78,299,161,0,0
2,26,3,302,103,6058,453.32,302,168,0,0
2,27,3,305,103,6058,444.42,305,175,0,0
2,28,3,309,103,6058,436.05,309,182,0,0
2,29,3,313,103,6058,428.37,313,189,0,0
2,30,3,315,103,6058,420.89,315,196,0,0
2,31,3,319,103,6058,414.00,319,203,0,0
2,32,3,323,103,6058,407.50,323,210,0,0
2,33,3,327,103,6058,401.48,327,217,0,0
2,34,3,331,103,6058,395.78,331,224,0,0
2,35,3,335,103,6058,390.53,335,231,0,0
2,36,3,339,103,6058,385.48,339,238,0,0
2,37,3,343,103,6058,380.66,343,245,0,0
2,38,3,347,103,6058,375.94,347,252,0,0
2,39,3,351,103,6058,371.63,351,259,0,0
2,40,3,355,103,6058,367.51,355,266,0,0
2,41,3,359,103,6058,363.54,359,273,0,0
2,42,3,363,103,6058,359.88,363,280,0,0
2,43,3,367,103,6058,356.45,367,287,0,0
2,44,3,371,103,6058,353.12,371,294,0,0
2,45,3,376,103,6058,350.12,376,301,0,0
2,46,3,380,103,6058,347.23,380,308,0,0
2,47,3,384,103,6058,344.52,384,315,0,0
2,48,3,389,103,6058,342.03,389,322,0,0
2,49,3,393,103,6058,339.61,393,329,0,0
2,50,3,397,103,6058,337.39,397,336,0,0
2,51,3,401,103,6058,335.26,401,343,0,0
2,52,3,406,103,6058,333.29,406,350,0,0
2,53,3,410,103,6058,331.42,410,357,0,0
2,54,3,415,103,6058,329.72,415,364,0,0
2,55,3,419,103,6058,328.06,419,371,0,0
2,56,3,424,103,6058,327.49,424,378,0,0
2,57,3,428,103,6058,326.11,428,385,0,0
2,58,3,433,103,6058,324.78,433,392,0,0
2,59,3,437,103,6058,323.52,437,399,0,0
2,60,3,441,103,6058,322.33,441,406,0,0
2,61,3,446,103,6058,321.27,446,413,0,0
2,62,3,450,103,6058,320.30,450,420,0,0
2,63,3,454,103,6058,319.59,454,427,0,0
2,64,3,459,103,6058,318.93,459,434,0,0
2,65,3,463,103,6058,318.40,463,441,0,0
2,66,3,468,103,6058,317.99,468,448,0,0
2,67,3,473,103,6058,317.69,473,455,0,0
2,68,3,477,103,6058,317.41,477,462,0,0
2,69,3,482,103,6058,317.19,482,469,0,0
2,70,3,486,103,6058,317.00,486,476,0,0
2,71,3,491,103,6058,316.83,491,483,0,0
2,72,3,495,103,6058,316.84,495,490,0,0
2,73,3,500,103,6058,317.50,500,497,0,0
2,74,3,505,103,6058,318.00,505,504,0,0
2,75,3,510,103,6058,318.37,510,511,0,0
2,76,3,515,103,6058,319.05,515,518,0,0
