name,string_length,num_chars,avg_ns,min_ns,max_ns,std_dev,success_avg_ns,success_runs,fail_avg_ns,fail_runs
4,2,2,38376,5524,401881,86003.32,57021,12,10407,8
4,3,2,32226,5524,401881,60805.09,43714,26,10893,14
4,4,2,26806,5524,401881,50375.00,41957,31,10610,29
4,5,2,26572,5524,401881,43936.23,40081,43,10873,37
4,6,2,24351,5524,401881,39769.67,39672,47,10764,53
4,7,2,24620,5524,401881,36628.86,38884,59,10823,61
4,8,2,23417,5524,401881,34245.07,38489,64,10724,76
4,9,2,23248,5524,401881,32328.62,38348,72,10895,88
4,10,2,22422,5524,401881,30734.93,37899,77,10851,103
4,11,2,22437,5524,401881,29380.19,37218,88,10823,112
4,12,2,21846,5524,401881,28207.90,37078,92,10898,128
4,13,2,22206,5524,401881,27254.82,37054,103,11043,137
4,14,2,22072,5524,401881,26458.17,37199,108,11323,152
4,15,2,22260,5524,401881,25774.96,37366,117,11417,163
4,16,2,22147,5524,401881,25211.82,37491,124,11337,176
4,17,2,21993,5524,401881,24591.80,37445,129,11558,191
4,18,2,21751,5524,401881,24025.26,37469,133,11651,207
4,19,2,21984,5524,401881,23628.48,37741,142,11720,218
4,20,2,22024,5524,401881,23258.78,37994,149,11723,231
4,21,2,22372,5524,401881,23248.06,38689,158,11719,242
4,22,2,22012,5524,401881,22843.32,38745,160,11715,260
4,23,2,21937,5524,401881,22533.28,38865,166,11682,274
4,24,2,21751,5524,401881,22216.16,38953,170,11667,290
4,25,2,21856,5524,401881,21995.70,39150,178,11662,302
4,26,2,21511,5524,401881,21691.47,39155,180,11586,320
4,27,2,21413,5524,401881,21490.03,39322,185,11523,335
4,28,2,21090,5524,401881,21205.88,39342,186,11500,354
4,29,2,21003,5524,401881,21017.06,39466,191,11446,369
4,30,2,20758,5524,401881,20772.24,39498,193,11412,387
4,31,2,20751,5524,401881,20614.83,39624,199,11385,401
4,32,2,20529,5524,401881,20407.33,39686,201,11340,419
4,33,2,20559,5524,401881,20277.93,39847,207,11338,433
4,34,2,20330,5524,401881,20036.63,39847,207,11411,453
4,35,2,20368,5524,401881,19934.78,40026,213,11402,467
4,36,2,20265,5524,401881,19808.53,40160,216,11386,484
4,37,2,20246,5524,401881,19711.32,40314,221,11358,499
4,38,2,20089,5524,401881,19556.29,40385,223,11335,517
4,39,2,20180,5524,401881,19518.45,40605,230,11316,530
4,40,2,20107,5524,401881,19399.60,40708,233,11331,547
4,41,2,20183,5524,401881,19370.60,40933,239,11343,561
4,42,2,20151,5524,401881,19263.59,41014,243,11364,577
4,43,2,20161,5524,401881,19264.46,41258,248,11324,592
4,44,2,20004,5524,401881,19113.68,41282,249,11333,611
