name,string_length,num_chars,avg_ns,min_ns,max_ns,std_dev,success_avg_ns,success_runs,fail_avg_ns,fail_runs
1,3,3,55,21,378,77.94,55,20,0,0
1,4,3,56,21,378,66.70,48,37,159,3
1,5,3,64,21,378,60.21,56,55,153,5
1,6,3,71,21,378,58.36,60,69,144,11
1,7,3,82,21,378,62.51,71,87,155,13
1,8,3,91,21,378,65.40,72,97,167,23
1,9,3,96,21,378,66.28,78,114,177,26
1,10,3,106,21,391,72.80,84,127,192,33
1,11,3,109,21,391,71.47,91,147,192,33
1,12,3,117,21,391,76.35,96,162,207,38
1,13,3,126,21,402,82.13,104,178,219,42
1,14,3,133,21,434,86.12,111,195,229,45
1,15,3,141,21,511,91.73,117,211,242,49
1,16,3,149,21,607,99.95,123,227,261,53
1,17,3,157,21,690,105.29,133,246,269,54
1,18,3,166,21,690,109.77,142,264,277,56
1,19,3,189,21,5619,316.67,149,280,379,60
1,20,3,197,21,5619,310.72,155,296,388,64
1,21,3,206,21,5619,306.15,166,314,396,66
1,22,3,214,21,5619,301.19,175,332,403,68
1,23,3,222,21,5619,297.00,187,352,403,68
1,24,3,227,21,5619,291.62,195,372,403,68
1,25,3,237,21,5619,290.95,203,388,422,72
1,26,3,246,21,5619,288.33,215,408,422,72
1,27,3,255,21,5619,286.11,227,428,422,72
1,28,3,265,21,5619,287.26,238,447,432,73
1,29,3,278,21,5619,290.70,252,466,439,74
1,30,3,287,21,5619,291.13,262,485,449,75
1,31,3,297,21,5619,293.24,273,504,461,76
1,32,3,310,21,5619,297.99,283,521,485,79
1,33,3,321,21,5619,300.94,295,540,492,80
1,34,3,331,21,5619,303.25,306,559,501,81
1,35,3,342,21,5619,305.71,320,579,501,81
1,36,3,355,21,5619,312.55,332,597,524,83
1,37,3,366,21,5619,315.43,345,617,524,83
1,38,3,377,21,5619,318.05,358,637,524,83
1,39,3,390,21,5619,323.93,373,657,524,83
1,40,3,404,21,5619,332.57,387,676,538,84
1,41,3,417,21,5619,338.26,402,696,538,84
1,42,3,428,21,5619,342.13,415,716,538,84
1,43,3,440,21,5619,347.83,428,735,551,85
1,44,3,451,21,5619,350.52,439,755,551,85
1,45,3,463,21,5619,356.70,454,775,551,85
1,46,3,478,21,5619,369.50,466,793,587,87
1,47,3,493,21,5619,380.36,481,812,605,88
1,48,3,506,21,5619,386.59,496,832,605,88
1,49,3,520,21,5619,395.76,511,852,605,88
1,50,3,534,21,5619,402.98,527,872,605,88
1,51,3,548,21,5619,411.09,542,892,605,88
1,52,3,566,21,5619,435.22,558,911,646,89
1,53,3,581,21,5619,446.10,573,930,666,90
1,54,3,595,21,5619,452.55,588,950,666,90
1,55,3,609,21,5619,460.48,604,970,666,90
1,56,3,624,21,5619,471.75,618,989,689,91
1,57,3,638,21,5619,478.45,633,1009,689,91
1,58,3,654,21,5619,488.92,651,1029,689,91
1,59,3,668,21,5619,496.85,666,1049,689,91
1,60,3,683,21,5619,506.01,683,1069,689,91
1,61,3,698,21,5619,514.41,699,1089,689,91
1,62,3,737,21,29437,980.38,741,1109,689,91
1,63,3,753,21,29437,981.69,756,1128,718,92
1,64,3,769,21,29437,981.59,773,1148,718,92
1,65,3,786,21,29437,984.76,789,1167,747,93
1,66,3,802,21,29437,985.30,807,1187,747,93
1,67,3,819,21,29437,986.43,824,1207,747,93
1,68,3,835,21,29437,987.78,841,1227,747,93
1,69,3,851,21,29437,989.32,859,1247,747,93
1,70,3,868,21,29437,991.95,877,1267,747,93
1,71,3,885,21,29437,994.60,895,1287,747,93
1,72,3,902,21,29437,997.69,913,1307,747,93
1,73,3,919,21,29437,1000.72,931,1327,747,93
1,74,3,936,21,29437,1004.42,949,1347,747,93
1,75,3,953,21,29437,1008.25,967,1367,747,93
1,76,3,970,21,29437,1012.33,985,1387,747,93
1,77,3,989,21,29437,1017.72,1005,1407,747,93
1,78,3,1006,21,29437,1022.57,1023,1427,747,93
1,79,3,1024,21,29437,1028.33,1042,1447,747,93
1,80,3,1043,21,29437,1035.01,1062,1467,747,93
1,81,3,1062,21,29437,1041.19,1081,1487,747,93
1,82,3,1079,21,29437,1046.73,1100,1507,747,93
1,83,3,1100,21,29437,1059.74,1122,1527,747,93
1,84,3,1119,21,29437,1066.55,1141,1547,747,93
1,85,3,1137,21,29437,1073.43,1160,1567,747,93
1,86,3,1157,21,29437,1081.72,1181,1587,747,93
1,87,3,1176,21,29437,1090.25,1201,1607,747,93
1,88,3,1196,21,29437,1099.21,1222,1627,747,93
1,89,3,1216,21,29437,1108.37,1242,1647,747,93
1,90,3,1235,21,29437,1117.35,1263,1667,747,93
1,91,3,1256,21,29437,1126.96,1284,1687,747,93
1,92,3,1275,21,29437,1135.98,1304,1707,747,93
1,93,3,1295,21,29437,1146.02,1325,1727,747,93
1,94,3,1323,21,29437,1171.42,1353,1747,747,93
1,95,3,1344,21,29437,1184.09,1376,1767,747,93
1,96,3,1365,21,29437,1194.87,1397,1787,747,93
1,97,3,1386,21,29437,1205.59,1419,1807,747,93
1,98,3,1407,21,29437,1216.66,1440,1827,747,93
1,99,3,1437,21,29437,1246.74,1472,1847,747,93
1,100,3,1464,21,29437,1269.52,1500,1867,747,93
1,101,3,1485,21,29437,1279.77,1521,1887,747,93
1,102,3,1507,21,29437,1291.63,1544,1907,747,93
1,103,3,1538,21,29437,1389.68,1576,1927,747,93
1,104,3,1559,21,29437,1399.42,1598,1947,747,93
1,105,3,1581,21,29437,1409.96,1620,1967,747,93
1,106,3,1603,21,29437,1420.79,1643,1987,747,93
1,107,3,1625,21,29437,1431.82,1665,2007,747,93
1,108,3,1647,21,29437,1443.95,1689,2027,747,93
1,109,3,1670,21,29437,1455.99,1712,2047,747,93
1,110,3,1692,21,29437,1467.71,1735,2067,747,93
1,111,3,1715,21,29437,1480.28,1758,2087,747,93
1,112,3,1739,21,29437,1493.99,1782,2107,747,93
1,113,3,1761,21,29437,1506.03,1806,2127,747,93
1,114,3,1785,21,29437,1519.42,1830,2147,747,93
1,115,3,1808,21,29437,1533.28,1854,2167,747,93
1,116,3,1832,21,29437,1546.99,1878,2187,747,93
1,117,3,1856,21,29437,1561.73,1903,2207,747,93
1,118,3,1880,21,29437,1576.69,1928,2227,747,93
1,119,3,1904,21,29437,1591.40,1952,2247,747,93
1,120,3,1929,21,29437,1607.64,1978,2267,747,93
1,121,3,1953,21,29437,1622.16,2002,2287,747,93
1,122,3,1980,21,29437,1641.94,2030,2307,747,93
1,123,3,2006,21,29437,1660.95,2056,2327,747,93
1,124,3,2031,21,29437,1676.14,2081,2347,747,93
1,125,3,2057,21,29437,1694.73,2108,2367,747,93
1,126,3,2084,21,29437,1715.31,2136,2387,747,93
1,127,3,2121,21,29437,1758.92,2174,2407,747,93
1,128,3,2149,21,29437,1781.48,2203,2427,747,93
1,129,3,2175,21,29437,1797.18,2229,2447,747,93
1,130,3,2200,21,29437,1812.61,2255,2467,747,93
1,131,3,2226,21,29437,1830.53,2282,2487,747,93
1,132,3,2252,21,29437,1847.48,2308,2507,747,93
1,133,3,2279,21,29437,1865.08,2335,2527,747,93
1,134,3,2305,21,29437,1881.72,2362,2547,747,93
1,135,3,2332,21,29437,1899.48,2389,2567,747,93
1,136,3,2365,21,29437,1931.72,2423,2587,747,93
1,137,3,2399,21,29437,1965.25,2457,2607,747,93
1,138,3,2430,21,29437,1992.83,2490,2627,747,93
1,139,3,2459,21,29437,2014.37,2519,2647,747,93
1,140,3,2487,21,29437,2033.37,2547,2667,747,93
1,141,3,2519,21,29437,2062.72,2580,2687,747,93
1,142,3,2546,21,29437,2080.49,2608,2707,747,93
1,143,3,2574,21,29437,2100.03,2636,2727,747,93
1,144,3,2602,21,29437,2117.66,2664,2747,747,93
1,145,3,2630,21,29437,2136.89,2693,2767,747,93
1,146,3,2658,21,29437,2155.86,2722,2787,747,93
1,147,3,2685,21,29437,2173.44,2749,2807,747,93
1,148,3,2713,21,29437,2191.45,2777,2827,747,93
1,149,3,2741,21,29437,2209.90,2806,2847,747,93
1,150,3,2769,21,29437,2228.35,2834,2867,747,93
1,151,3,2797,21,29437,2248.47,2863,2887,747,93
1,152,3,2826,21,29437,2268.28,2893,2907,747,93
1,153,3,2858,21,29437,2302.41,2925,2927,747,93
1,154,3,2887,21,29437,2322.99,2955,2947,747,93
1,155,3,2917,21,29437,2343.81,2985,2967,747,93
1,156,3,2945,21,29437,2362.77,3014,2987,747,93
1,157,3,2974,21,29437,2382.64,3043,3007,747,93
1,158,3,3004,21,29437,2404.50,3074,3027,747,93
1,159,3,3034,21,29437,2425.40,3104,3047,747,93
1,160,3,3064,21,29437,2446.56,3134,3067,747,93
1,161,3,3094,21,29437,2467.56,3165,3087,747,93
1,162,3,3124,21,29437,2488.74,3195,3107,747,93
1,163,3,3155,21,29437,2511.90,3226,3127,747,93
1,164,3,3185,21,29437,2534.06,3257,3147,747,93
1,165,3,3216,21,29437,2556.36,3288,3167,747,93
1,166,3,3247,21,29437,2579.49,3320,3187,747,93
1,167,3,3279,21,29437,2603.42,3352,3207,747,93
1,168,3,3310,21,29437,2626.33,3384,3227,747,93
1,169,3,3341,21,29437,2649.18,3415,3247,747,93
1,170,3,3372,21,29437,2672.74,3447,3267,747,93
1,171,3,3403,21,29437,2694.97,3479,3287,747,93
1,172,3,3435,21,29437,2719.00,3511,3307,747,93
1,173,3,3467,21,29437,2741.88,3543,3327,747,93
1,174,3,3505,21,29437,2780.94,3582,3347,747,93
1,175,3,3537,21,29437,2805.05,3614,3367,747,93
1,176,3,3580,21,29437,2855.12,3658,3387,747,93
1,177,3,3615,21,29437,2884.06,3693,3407,747,93
1,178,3,3647,21,29437,2907.43,3726,3427,747,93
1,179,3,3681,21,29437,2932.92,3760,3447,747,93
1,180,3,3713,21,29437,2956.99,3793,3467,747,93
1,181,3,3747,21,29437,2982.25,3827,3487,747,93
1,182,3,3779,21,29437,3005.20,3859,3507,747,93
1,183,3,3813,21,29437,3031.41,3894,3527,747,93
1,184,3,3846,21,29437,3056.23,3927,3547,747,93
1,185,3,3879,21,29437,3080.99,3961,3567,747,93
1,186,3,3914,21,29437,3107.23,3996,3587,747,93
1,187,3,3948,21,29437,3133.50,4030,3607,747,93
1,188,3,3982,21,29437,3158.88,4065,3627,747,93
1,189,3,4015,21,29437,3183.97,4099,3647,747,93
1,190,3,4050,21,29437,3210.01,4133,3667,747,93
1,191,3,4083,21,29437,3234.14,4167,3687,747,93
1,192,3,4117,21,29437,3259.60,4202,3707,747,93
1,193,3,4151,21,29437,3285.03,4236,3727,747,93
1,194,3,4187,21,29437,3313.19,4272,3747,747,93
1,195,3,4222,21,29437,3339.53,4307,3767,747,93
1,196,3,4257,21,29437,3366.51,4343,3787,747,93
1,197,3,4293,21,29437,3394.89,4379,3807,747,93
1,198,3,4329,21,29437,3424.47,4416,3827,747,93
1,199,3,4364,21,29437,3450.92,4451,3847,747,93
1,200,3,4402,21,29437,3484.54,4490,3867,747,93
1,201,3,4438,21,29437,3512.66,4526,3887,747,93
1,202,3,4474,21,29437,3540.31,4562,3907,747,93
1,203,3,4510,21,29437,3568.15,4599,3927,747,93
1,204,3,4546,21,29437,3596.48,4635,3947,747,93
1,205,3,4582,21,29437,3624.07,4672,3967,747,93
1,206,3,4618,21,29437,3652.46,4709,3987,747,93
1,207,3,4656,21,29437,3682.81,4747,4007,747,93
1,208,3,4692,21,29437,3710.86,4784,4027,747,93
1,209,3,4729,21,29437,3739.19,4821,4047,747,93
1,210,3,4766,21,29437,3767.88,4858,4067,747,93
1,211,3,4803,21,29437,3797.63,4896,4087,747,93
1,212,3,4841,21,29437,3827.35,4934,4107,747,93
1,213,3,4879,21,29437,3858.32,4972,4127,747,93
1,214,3,4917,21,29437,3887.98,5010,4147,747,93
1,215,3,4955,21,29437,3918.18,5049,4167,747,93
1,216,3,4993,21,29437,3948.38,5087,4187,747,93
1,217,3,5031,21,29437,3978.67,5126,4207,747,93
1,218,3,5069,21,29437,4008.78,5164,4227,747,93
1,219,3,5108,21,29437,4040.86,5204,4247,747,93
1,220,3,5147,21,29437,4070.68,5243,4267,747,93
1,221,3,5186,21,29437,4101.70,5282,4287,747,93
1,222,3,5227,21,29437,4138.61,5323,4307,747,93
1,223,3,5265,21,29437,4168.87,5363,4327,747,93
1,224,3,5304,21,29437,4198.63,5401,4347,747,93
1,225,3,5343,21,29437,4229.98,5441,4367,747,93
1,226,3,5387,21,36356,4283.74,5485,4387,747,93
1,227,3,5427,21,36356,4315.66,5526,4407,747,93
1,228,3,5467,21,36356,4347.01,5566,4427,747,93
1,229,3,5506,21,36356,4378.13,5606,4447,747,93
1,230,3,5546,21,36356,4410.12,5646,4467,747,93
1,231,3,5586,21,36356,4440.98,5686,4487,747,93
1,232,3,5626,21,36356,4472.88,5727,4507,747,93
1,233,3,5666,21,36356,4504.50,5767,4527,747,93
1,234,3,5707,21,36356,4536.76,5808,4547,747,93
1,235,3,5747,21,36356,4569.48,5849,4567,747,93
1,236,3,5787,21,36356,4600.07,5889,4587,747,93
1,237,3,5828,21,36356,4633.03,5931,4607,747,93
1,238,3,5870,21,36356,4667.26,5973,4627,747,93
1,239,3,5911,21,36356,4700.90,6015,4647,747,93
1,240,3,5956,21,36356,4742.32,6060,4667,747,93
1,241,3,5998,21,36356,4776.47,6102,4687,747,93
1,242,3,6040,21,36356,4810.12,6144,4707,747,93
1,243,3,6082,21,36356,4844.10,6187,4727,747,93
1,244,3,6124,21,36356,4878.38,6229,4747,747,93
1,245,3,6167,21,36356,4913.10,6272,4767,747,93
1,246,3,6209,21,36356,4946.61,6315,4787,747,93
1,247,3,6251,21,36356,4980.49,6357,4807,747,93
1,248,3,6293,21,36356,5014.41,6400,4827,747,93
1,249,3,6336,21,36356,5048.22,6443,4847,747,93
1,250,3,6379,21,36356,5084.05,6487,4867,747,93
1,251,3,6421,21,36356,5117.43,6529,4887,747,93
1,252,3,6464,21,36356,5152.32,6573,4907,747,93
1,253,3,6507,21,36356,5187.04,6616,4927,747,93
1,254,3,6551,21,36356,5222.98,6660,4947,747,93
1,255,3,6596,21,36356,5261.49,6705,4967,747,93
1,256,3,6640,21,36356,5297.40,6750,4987,747,93
1,257,3,6692,21,36356,5354.47,6803,5007,747,93
1,258,3,6736,21,36356,5389.99,6847,5027,747,93
1,259,3,6780,21,36356,5425.20,6891,5047,747,93
1,260,3,6832,21,36356,5480.32,6944,5067,747,93
1,261,3,6877,21,36356,5515.90,6989,5087,747,93
1,262,3,6921,21,36356,5550.68,7033,5107,747,93
1,263,3,6965,21,36356,5586.76,7078,5127,747,93
1,264,3,7010,21,36356,5623.26,7124,5147,747,93
1,265,3,7055,21,36356,5659.39,7169,5167,747,93
1,266,3,7100,21,36356,5695.45,7214,5187,747,93
1,267,3,7146,21,36356,5732.62,7260,5207,747,93
1,268,3,7191,21,36356,5769.52,7306,5227,747,93
1,269,3,7237,21,36356,5806.64,7352,5247,747,93
1,270,3,7284,21,36356,5848.85,7400,5267,747,93
1,271,3,7329,21,36356,5884.16,7445,5287,747,93
1,272,3,7375,21,36356,5920.69,7491,5307,747,93
1,273,3,7421,21,36356,5957.87,7537,5327,747,93
1,274,3,7468,21,36356,5996.38,7584,5347,747,93
1,275,3,7514,21,36356,6033.50,7631,5367,747,93
1,276,3,7560,21,36356,6071.75,7678,5387,747,93
1,277,3,7607,21,36356,6109.50,7725,5407,747,93
1,278,3,7654,21,36356,6147.80,7772,5427,747,93
1,279,3,7700,21,36356,6184.87,7819,5447,747,93
1,280,3,7751,21,41149,6237.28,7870,5467,747,93
1,281,3,7800,21,41149,6280.19,7920,5487,747,93
1,282,3,7856,21,41149,6340.70,7976,5507,747,93
1,283,3,7906,21,41149,6383.63,8026,5527,747,93
1,284,3,7953,21,41149,6420.76,8073,5547,747,93
1,285,3,8001,21,41149,6460.01,8122,5567,747,93
1,286,3,8048,21,41149,6498.44,8170,5587,747,93
1,287,3,8097,21,41149,6538.24,8219,5607,747,93
1,288,3,8144,21,41149,6576.24,8267,5627,747,93
1,289,3,8193,21,41149,6615.18,8315,5647,747,93
1,290,3,8246,21,41149,6669.42,8369,5667,747,93
1,291,3,8298,21,41149,6715.67,8421,5687,747,93
1,292,3,8347,21,41149,6755.58,8470,5707,747,93
1,293,3,8395,21,41149,6794.02,8519,5727,747,93
1,294,3,8445,21,41149,6835.04,8569,5747,747,93
1,295,3,8493,21,41149,6873.98,8618,5767,747,93
1,296,3,8545,21,41149,6921.28,8671,5787,747,93
1,297,3,8594,21,41149,6960.70,8720,5807,747,93
1,298,3,8645,21,41149,7001.89,8771,5827,747,93
1,299,3,8694,21,41149,7042.11,8821,5847,747,93
1,300,3,8744,21,41149,7082.97,8871,5867,747,93
1,301,3,8794,21,41149,7123.90,8921,5887,747,93
1,302,3,8843,21,41149,7161.75,8970,5907,747,93
1,303,3,8893,21,41149,7201.46,9020,5927,747,93
1,304,3,8943,21,41149,7241.88,9071,5947,747,93
1,305,3,8993,21,41149,7283.09,9122,5967,747,93
1,306,3,9044,21,41149,7323.95,9173,5987,747,93
1,307,3,9093,21,41149,7362.83,9222,6007,747,93
1,308,3,9146,21,41149,7408.01,9275,6027,747,93
1,309,3,9196,21,41149,7448.97,9326,6047,747,93
1,310,3,9247,21,41149,7490.23,9378,6067,747,93
1,311,3,9298,21,41149,7531.37,9429,6087,747,93
1,312,3,9350,21,41149,7574.07,9481,6107,747,93
1,313,3,9401,21,41149,7615.22,9532,6127,747,93
1,314,3,9453,21,41149,7657.84,9585,6147,747,93
1,315,3,9504,21,41149,7698.30,9636,6167,747,93
1,316,3,9557,21,41149,7742.71,9689,6187,747,93
1,317,3,9609,21,41149,7786.58,9742,6207,747,93
1,318,3,9662,21,41149,7829.53,9795,6227,747,93
1,319,3,9714,21,41149,7871.87,9847,6247,747,93
1,320,3,9767,21,41149,7918.22,9901,6267,747,93
1,321,3,9821,21,41149,7962.53,9955,6287,747,93
1,322,3,9874,21,41149,8006.04,10008,6307,747,93
1,323,3,9927,21,41149,8050.21,10062,6327,747,93
1,324,3,9980,21,41149,8095.06,10116,6347,747,93
1,325,3,10033,21,41149,8138.07,10169,6367,747,93
1,326,3,10086,21,41149,8179.77,10222,6387,747,93
1,327,3,10140,21,41149,8224.65,10276,6407,747,93
1,328,3,10194,21,41149,8269.75,10330,6427,747,93
1,329,3,10247,21,41149,8313.55,10384,6447,747,93
1,330,3,10302,21,41149,8359.70,10439,6467,747,93
1,331,3,10356,21,41149,8405.59,10494,6487,747,93
1,332,3,10417,21,41149,8465.34,10555,6507,747,93
1,333,3,10471,21,41149,8510.16,10610,6527,747,93
1,334,3,10533,21,41149,8573.10,10672,6547,747,93
1,335,3,10587,21,41149,8617.84,10727,6567,747,93
1,336,3,10642,21,41149,8662.52,10782,6587,747,93
1,337,3,10697,21,41149,8708.34,10837,6607,747,93
1,338,3,10753,21,41149,8754.21,10893,6627,747,93
1,339,3,10808,21,41149,8799.93,10949,6647,747,93
1,340,3,10865,21,41149,8849.43,11006,6667,747,93
1,341,3,10921,21,41149,8895.19,11062,6687,747,93
1,342,3,10976,21,41149,8940.63,11118,6707,747,93
1,343,3,11031,21,41149,8986.03,11174,6727,747,93
1,344,3,11087,21,41149,9031.77,11230,6747,747,93
1,345,3,11148,21,41149,9088.51,11291,6767,747,93
1,346,3,11209,21,41149,9146.27,11352,6787,747,93
1,347,3,11264,21,41149,9191.61,11408,6807,747,93
1,348,3,11321,21,41149,9239.42,11466,6827,747,93
1,349,3,11381,21,41149,9293.11,11525,6847,747,93
1,350,3,11438,21,41149,9340.72,11583,6867,747,93
1,351,3,11495,21,41149,9388.21,11641,6887,747,93
1,352,3,11553,21,41149,9435.45,11698,6907,747,93
1,353,3,11610,21,41149,9482.91,11756,6927,747,93
1,354,3,11668,21,41149,9531.16,11814,6947,747,93
1,355,3,11726,21,41149,9580.47,11873,6967,747,93
1,356,3,11784,21,41149,9628.23,11931,6987,747,93
1,357,3,11842,21,41149,9676.03,11989,7007,747,93
1,358,3,11901,21,41149,9727.10,12048,7027,747,93
1,359,3,11959,21,41149,9776.50,12107,7047,747,93
1,360,3,12018,21,41149,9824.73,12166,7067,747,93
1,361,3,12076,21,41149,9873.46,12225,7087,747,93
1,362,3,12134,21,41149,9921.37,12283,7107,747,93
1,363,3,12193,21,41149,9969.91,12342,7127,747,93
1,364,3,12252,21,41149,10018.43,12402,7147,747,93
1,365,3,12311,21,41149,10067.81,12461,7167,747,93
1,366,3,12370,21,41149,10116.42,12520,7187,747,93
1,367,3,12430,21,41149,10168.18,12581,7207,747,93
1,368,3,12490,21,41149,10218.33,12641,7227,747,93
1,369,3,12549,21,41149,10266.18,12700,7247,747,93
1,370,3,12608,21,41149,10315.09,12760,7267,747,93
1,371,3,12668,21,41149,10364.57,12820,7287,747,93
1,372,3,12728,21,41149,10415.18,12880,7307,747,93
1,373,3,12789,21,41149,10466.22,12941,7327,747,93
1,374,3,12848,21,41149,10515.48,13002,7347,747,93
1,375,3,12912,21,54163,10575.41,13066,7367,747,93
1,376,3,12972,21,54163,10624.34,13126,7387,747,93
1,377,3,13032,21,54163,10674.48,13187,7407,747,93
1,378,3,13093,21,54163,10725.02,13248,7427,747,93
1,379,3,13155,21,54163,10778.73,13310,7447,747,93
1,380,3,13216,21,54163,10829.29,13372,7467,747,93
1,381,3,13277,21,54163,10878.53,13432,7487,747,93
1,382,3,13339,21,54163,10930.97,13495,7507,747,93
